Sequence;MOTU_bGMYC_005
KC617500_Eubosmina_huaronensis;11
ZPLIV690N11_B_huaronensis_Mexico_BOLD_AAB9669;11
ZPLIV750N11_B_huaronensis_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico07a;11
ZPLMX852N06_B_huaronensis_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico06c;11
KC617504_Eubosmina_huaronensis;11
KC617506_Eubosmina_huaronensis;11
BACZP386N16_B_huaronensis_Mexico_BOLD_AAB9669;11
KC617507_Eubosmina_huaronensis;11
ZPLIV602N11_B_huaronensis_Mexico_BOLD_AAB9669;11
KC617503_Eubosmina_huaronensis;11
ZPLIV601N11_B_huaronensis_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico04a;11
ZPLIV508N11_B_huaronensis_Mexico_BOLD_AAB9669;11
BACZP388N16_B_huaronensis_Mexico_BOLD_AAB9669;11
ZPLMX849N06_B_huaronensis_Mexico_BOLD_AAB9669;11
