Sequence;ASAP_patri;ASAP_pair;ABGD_init_patri;ABGD_init_pair;ABGD_recur_patri;ABGD_recur_pair;locMin_patri;locMin_pair;Ward_patri;Ward_pair;Refined_patri;Refined_pair;GMYC_single;GMYC_multi;bGMYC_001;bGMYC_005;mPTP;bPTP_p0.01;KoT_t4;KoT_t6;KoT_t8
Liederobosmina_Mexico07a;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico08a;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
Liederobosmina_Mexico09a;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
Liederobosmina_Mexico09b;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
Liederobosmina_Mexico10a;6;4;8;4;9;16;8;12;13;15;6;12;3;12;9;11;12;16;4;3;3
Liederobosmina_Mexico10b;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico11a;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico11b;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico11c;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
MCM690N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;17;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MCM691N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MCM692N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MCM693N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;18;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MCM694N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MCM695N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MCM696N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MCM697N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MCM698N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MCM699N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MCM700N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;19;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MCM701N17_B_sp_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
MG449420_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
MG450143_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPII1067N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPII1068N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPII1106N11_B_huaronensis_Mexico_BOLD_AAZ8987;6;4;8;4;9;16;8;12;13;15;6;12;3;12;9;11;12;16;4;3;3
ZPII1454N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPII837N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
ZPII839N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
ZPII936N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
ZPLIV506N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLIV507N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLIV508N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLIV509N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLIV515N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLIV601N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLIV602N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLIV603N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLIV604N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLIV610N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLIV690N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLIV750N11_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX146N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX147N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX148N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;15;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX240N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX401N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX402N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX403N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX404N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX405N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX406N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX407N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX849N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX850N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX851N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ZPLMX852N06_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
BACZP387N16_B_longirostris_Mexico_BOLD_AAD9496;14;5;19;5;34;20;20;31;34;45;17;32;9;11;2;2;23;34;5;4;4
BBCRU025N10_Bosmina_Canada_BOLD_AAV0686;14;5;19;5;40;21;20;32;36;48;17;35;9;11;2;2;24;35;5;4;4
COAPP312N13_Bosmina_Canada_BOLD_ABX4934;14;5;19;5;38;22;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
COAPP558N13_Bosmina_Canada_BOLD_ABX4934;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
EU702018_B_longirostris;14;5;19;5;34;20;20;31;34;45;17;32;9;11;2;2;23;34;5;4;4
EU702019_B_longirostris;14;5;19;5;34;20;20;31;34;45;17;32;9;11;2;2;23;34;5;4;4
EU702020_B_longirostris;14;5;19;5;34;20;20;31;34;45;17;32;9;11;2;2;23;34;5;4;4
HM883958_B_longirostris;14;5;19;5;34;20;20;31;34;45;17;32;9;11;2;2;23;34;5;4;4
HM883961_B_longirostris;14;5;19;5;34;20;20;31;34;45;17;32;9;11;2;2;23;34;5;4;4
HM883995_B_longirostris;14;5;19;5;34;20;20;31;34;45;17;32;9;11;2;2;23;34;5;4;4
HM883999_B_longirostris;14;5;19;5;34;20;20;31;34;45;17;32;9;11;2;2;23;34;5;4;4
JN290618_Anomopoda_sp_BOLD_AAV0686;14;5;19;5;40;21;20;32;36;48;17;35;9;11;2;2;24;35;5;4;4
JN290619_Anomopoda_sp_BOLD_AAV0686;14;5;19;5;40;21;20;32;36;48;17;35;9;11;2;2;24;35;5;4;4
JN290620_Anomopoda_sp_BOLD_AAV0686;14;5;19;5;40;21;20;32;36;48;17;35;9;11;2;2;24;35;5;4;4
JN290621_Anomopoda_sp_BOLD_AAV0686;14;5;19;5;40;21;20;32;36;48;17;35;9;11;2;2;24;35;5;4;4
JN290621_Anomopoda_sp_BOLD_AAV06865;14;5;19;5;40;21;20;32;36;48;17;35;9;11;2;2;24;35;5;4;4
JN290622_Anomopoda_sp_BOLD_AAV0686;14;5;19;5;40;21;20;32;36;48;17;35;9;11;2;2;24;35;5;4;4
KM611608_B_sp_BOLD_AAV0686;14;5;19;5;40;21;20;32;36;48;17;35;9;11;2;2;24;35;5;4;4
MG448688_B_longirostris;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG448689_B_longirostris;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG448838_B_longirostris;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG449713_B_longirostris;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG449850_B_longirostris;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG449851_B_longirostris;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG449952_B_longirostris;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG449967_B_longirostris_FREYI2_AK;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG449982_B_longirostris;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG450021_B_longirostris;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG450033_B_longirostris;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG450086_B_longirostris;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
MG450147_B_longirostris;14;5;19;5;34;20;20;31;34;45;17;32;9;11;2;2;23;34;5;4;4
ZPLCA001N06_Bosmina_Canada_BOLD_ABX4934;14;5;19;5;39;23;20;31;35;47;17;34;9;11;2;2;23;34;5;4;4
ZPLKA177N15_B_longirostris_Mexico_BOLD_AAD9496;14;5;19;5;35;24;20;31;34;45;17;33;9;11;2;2;23;34;5;4;4
ZPLV090N17_B_longirostris_Mexico_BOLD_AAD9496;14;5;19;5;36;25;20;31;34;46;17;32;9;11;2;2;23;34;5;4;4
ZPLV091N17_B_longirostris_Mexico_BOLD_AAD9496;14;5;19;5;36;25;20;31;34;46;17;32;9;11;2;2;23;34;5;4;4
ZPLV092N17_B_longirostris_Mexico_BOLD_AAD9496;14;5;19;5;36;25;20;31;34;46;17;32;9;11;2;2;23;34;5;4;4
ZPLV097N17_B_longirostris_Mexico_BOLD_AAD9496;14;5;19;5;37;26;20;31;34;46;17;32;9;11;2;2;23;34;5;4;4
ZPLV098N17_B_longirostris_Mexico_BOLD_AAD9496;14;5;19;5;36;25;20;31;34;46;17;32;9;11;2;2;23;34;5;4;4
BBCRU249N12_Bosmina_Canada_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
COAPP296N13_Bosmina_Canada_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
COAPP303N13_Bosmina_Canada_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
COAPP530N13_Bosmina_Canada_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ025N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ036N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ039N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ040N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ051N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ067N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ114N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ129N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ131N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ132N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ133N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ134N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ136N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ247N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ268N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ270N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ280N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ305N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ317N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ480N23_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ485N24_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
ECCAJ494N24_Bosmina_Ecuador_BOLD_ACA6834;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
KU315493_B_freyi;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
LC215481_B_sp;15;6;21;6;42;27;22;34;38;50;19;37;10;7;2;2;26;37;6;5;5
BCRUA087N10_Bosmina_United_States_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;3;3;7;6;6
BCRUA088N10_Bosmina_United_States_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;3;3;7;6;6
BCRUA159N10_Bosmina_United_States_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
BCRUA161N10_Bosmina_United_States_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
CAZUL101N17_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
CAZUL102N17_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
CAZUL104N17_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
CAZUL105N17_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
CAZUL191N17_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
CAZUL192N17_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
CAZUL193N17_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
CAZUL194N17_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
CAZUL195N17_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
EU702022_Eubosmina_tubicen;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
EU702023_Eubosmina_tubicen;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
EU702024_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;8;8;7;6;6
EU702025_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;8;8;7;6;6
EU702026_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;8;8;7;6;6
EXDB1873N21_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
EXDB448N20_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
EXDB579N21_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
EXDB731N21_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
EXDB732N21_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
JN294865_Anomopoda_sp_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;3;3;7;6;6
JN294866_Anomopoda_sp_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;3;3;7;6;6
JN294889_Anomopoda_sp_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
JN294890_Anomopoda_sp_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
KC617008_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
KC617009_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
KC617010_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
KC617011_Eubosmina_tubicen;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
KC617012_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
KC617013_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
KC617494_Eubosmina_tubicen;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
KC617636_Eubosmina_tubicen;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
Liederobosmina_Guatemala01a;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
Liederobosmina_Guatemala01b;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
Liederobosmina_Guatemala01c;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;8;8;7;6;6
Liederobosmina_Guatemala01d;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;8;8;7;6;6
Liederobosmina_Guatemala01e;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;8;8;7;6;6
Liederobosmina_Mexico02a;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
Liederobosmina_Mexico02b;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
Liederobosmina_Mexico03a;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
MT888232_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
MT888247_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
MT888279_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
MT888325_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
MT888336_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
MT888361_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
MT888366_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
MT888464_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
MT888481_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;7;2;3;1;9;8;9;7;7;7;6;6
MZ517301_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
MZ517335_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
MZ517466_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
MZ517641_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
MZ517674_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
MZ517739_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
MZ517828_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
MZ517857_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
MZ517893_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
MZ517899_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
MZ517920_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
MZ517951_Eubosmina_tubicen;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
SKAAN072N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
SKAAN074N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
SKAAN075N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
SKAAN126N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
SKAAN128N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
SKAAN305N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
SKAAN316N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;7;7;7;6;6
SKAAN737N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
SKAAN742N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
SKAAN872N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
SKAAN883N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
SKAAN890N19_B_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;6;6;7;6;6
ZPLIV669N11_B_bosmina_tubicen_Mexico_BOLD_AAD9782;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
ZPLMX140N06_B_tubicen_Guatemala_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;8;8;7;6;6
ZPLMX141N06_B_tubicen_Guatemala_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;8;8;7;6;6
ZPLMX409N06_B_tubicen_Guatemala_BOLD_AAD9782;2;7;2;7;3;28;2;3;3;3;2;3;1;9;8;9;8;8;7;6;6
ZPLMX410N06_B_tubicen_Guatemala_BOLD_AAD9782;2;7;2;7;3;28;2;3;6;6;2;3;1;9;8;9;6;6;7;6;6
